lat=47.61145&lon=-122.337532
lat=47.611759&lon=-122.335785
lat=47.607246&lon=-122.335754
lat=47.602139&lon=-122.331055
lat=47.603199&lon=-122.331581
lat=47.522953&lon=-122.279083
lat=47.538502&lon=-122.281693
lat=47.56028&lon=-122.292892
lat=47.576992&lon=-122.297867
lat=47.576439&lon=-122.297737
lat=47.559025&lon=-122.292389
lat=47.537529&lon=-122.281471
lat=47.522266&lon=-122.279587
lat=47.608246&lon=-122.336166
lat=47.598438&lon=-122.32782
lat=47.59766&lon=-122.328217
lat=47.659875&lon=-122.314194
lat=47.660749&lon=-122.314067
lat=47.676107&lon=-122.316041
lat=47.677081&lon=-122.315928
lat=47.702662&lon=-122.32832
lat=47.703414&lon=-122.328244
lat=47.591824&lon=-122.327354
lat=47.579952&lon=-122.327522
lat=47.579124&lon=-122.311279
lat=47.579678&lon=-122.311401
lat=47.580589&lon=-122.327263
lat=47.592285&lon=-122.326988
lat=47.619621&lon=-122.320038
lat=47.649349&lon=-122.303795
lat=47.650312&lon=-122.303736
lat=47.61956&lon=-122.320389
lat=47.464272&lon=-122.288399
lat=47.445053&lon=-122.296692
lat=47.444969&lon=-122.297028
lat=47.463924&lon=-122.288002
lat=47.423025&lon=-122.297765
lat=47.422145&lon=-122.297834
lat=47.611572&lon=-122.33672
lat=47.60781&lon=-122.33602
lat=47.607929&lon=-122.335875
lat=47.607817&lon=-122.336388
lat=47.607692&lon=-122.336657
lat=47.60728&lon=-122.335391
lat=47.60256&lon=-122.331216
lat=47.603054&lon=-122.331453
lat=47.603312&lon=-122.331699
lat=47.602688&lon=-122.331939
lat=47.601996&lon=-122.330931
lat=47.601876&lon=-122.331166
